Sample	total_reads	pseudoaligned_reads	not_pseudoaligned_reads	percent_aligned
SRR8668755_10K_subsample	10000.0	5334.0	4666.0	53.339999999999996
SRR8668756_10K_subsample	10000.0	6901.0	3099.0	69.01
SRR8668757_10K_subsample	10000.0	4854.0	5146.0	48.54
SRR8668758_10K_subsample	10000.0	6254.0	3746.0	62.53999999999999
SRR8668759_10K_subsample	10000.0	4754.0	5246.0	47.54
SRR8668769_10K_subsample	10000.0	6705.0	3295.0	67.05
SRR8668771_10K_subsample	10000.0	5222.0	4778.0	52.22
SRR8668772_10K_subsample	10000.0	5448.0	4552.0	54.48
SRR8668773_10K_subsample	10000.0	6454.0	3546.0	64.53999999999999
SRR8668774_10K_subsample	10000.0	5842.0	4158.0	58.42
